iter	Passed	Remaining
0	3	3603
1	8	4070
2	16	5326
3	20	5201
4	25	5072
5	31	5286
6	36	5175
7	41	5103
8	47	5248
9	52	5180
10	56	5121
11	63	5203
12	67	5154
13	72	5119
14	78	5182
15	83	5158
16	88	5121
17	96	5264
18	101	5265
19	109	5358
20	114	5327
21	118	5287
22	125	5311
23	129	5282
24	134	5255
25	140	5277
26	145	5251
27	151	5246
28	157	5270
29	162	5247
30	167	5221
31	172	5230
32	177	5205
33	182	5193
34	188	5198
35	193	5181
36	198	5164
37	203	5152
38	208	5143
39	213	5128
40	218	5107
41	223	5108
42	228	5091
43	233	5073
44	239	5088
45	244	5073
46	249	5057
47	255	5073
48	260	5058
49	265	5043
50	271	5053
51	276	5035
52	280	5018
53	287	5038
54	292	5022
55	296	5004
56	303	5028
57	308	5017
58	313	5001
59	320	5019
60	325	5005
61	329	4988
62	336	4997
63	340	4982
64	345	4968
65	351	4978
66	356	4963
67	361	4952
68	367	4960
69	372	4946
70	377	4934
71	383	4945
72	388	4933
73	393	4920
74	399	4928
75	404	4915
76	409	4904
77	415	4910
78	420	4897
79	424	4884
80	430	4886
81	434	4867
82	439	4858
83	445	4858
84	450	4846
85	454	4833
86	459	4824
87	465	4822
88	469	4810
89	474	4800
90	481	4810
91	485	4794
92	490	4783
93	498	4801
94	502	4791
95	508	4788
96	513	4779
97	518	4768
98	522	4756
99	529	4762
100	533	4753
101	538	4741
102	544	4745
103	549	4734
104	553	4719
105	560	4724
106	564	4710
107	569	4701
108	575	4707
109	581	4701
110	586	4696
111	592	4697
112	597	4687
113	601	4674
114	608	4682
115	613	4673
116	618	4665
117	624	4668
118	628	4654
119	633	4646
120	639	4644
121	643	4631
122	647	4618
123	653	4617
124	658	4609
125	662	4597
126	666	4584
127	672	4584
128	677	4572
129	682	4564
130	688	4566
131	692	4554
132	697	4547
133	703	4548
134	708	4537
135	712	4527
136	718	4526
137	723	4518
138	727	4507
139	733	4503
140	737	4495
141	742	4487
142	747	4477
143	753	4476
144	757	4466
145	762	4458
146	768	4460
147	772	4449
148	777	4442
149	785	4448
150	791	4448
151	795	4440
152	802	4443
153	807	4436
154	813	4435
155	819	4434
156	824	4425
157	830	4426
158	835	4417
159	840	4410
160	847	4414
161	852	4410
162	857	4400
163	865	4410
164	869	4401
165	874	4393
166	881	4398
167	886	4388
168	890	4377
169	899	4390
170	903	4380
171	910	4384
172	914	4373
173	919	4364
174	924	4360
175	929	4353
176	934	4344
177	939	4336
178	944	4333
179	949	4324
180	953	4315
181	961	4319
182	965	4310
183	970	4301
184	976	4301
185	981	4294
186	985	4286
187	992	4286
188	996	4277
189	1001	4267
190	1007	4269
191	1012	4260
192	1016	4251
193	1022	4247
194	1027	4240
195	1031	4233
196	1037	4227
197	1041	4220
198	1046	4210
199	1050	4201
200	1056	4200
201	1061	4192
202	1066	4187
203	1073	4189
204	1078	4183
205	1083	4177
206	1089	4173
207	1094	4168
208	1101	4169
209	1106	4163
210	1111	4156
211	1118	4157
212	1123	4152
213	1128	4143
214	1135	4145
215	1140	4138
216	1145	4132
217	1153	4136
218	1157	4129
219	1162	4120
220	1170	4124
221	1174	4117
222	1180	4113
223	1186	4109
224	1190	4100
225	1198	4103
226	1203	4098
227	1208	4091
228	1216	4094
229	1221	4087
230	1226	4084
231	1233	4083
232	1238	4075
233	1242	4067
234	1249	4066
235	1253	4058
236	1258	4052
237	1264	4048
238	1269	4042
239	1274	4036
240	1282	4038
241	1286	4031
242	1292	4027
243	1298	4024
244	1303	4017
245	1310	4016
246	1314	4008
247	1319	4001
248	1326	3999
249	1330	3991
250	1335	3983
251	1341	3980
252	1346	3974
253	1350	3965
254	1356	3962
255	1361	3955
256	1366	3949
257	1372	3946
258	1377	3940
259	1381	3932
260	1386	3925
261	1392	3922
262	1397	3915
263	1401	3907
264	1408	3905
265	1412	3898
266	1417	3890
267	1424	3890
268	1428	3882
269	1433	3875
270	1439	3872
271	1443	3864
272	1448	3857
273	1455	3857
274	1460	3851
275	1465	3843
276	1472	3842
277	1476	3835
278	1481	3827
279	1488	3828
280	1493	3820
281	1498	3816
282	1505	3813
283	1509	3805
284	1515	3802
285	1520	3796
286	1525	3789
287	1529	3781
288	1535	3777
289	1540	3770
290	1544	3762
291	1551	3761
292	1556	3754
293	1560	3746
294	1567	3746
295	1573	3741
296	1579	3738
297	1585	3733
298	1589	3726
299	1595	3723
300	1600	3716
301	1604	3709
302	1610	3705
303	1615	3699
304	1620	3691
305	1624	3684
306	1630	3681
307	1635	3673
308	1639	3666
309	1646	3663
310	1650	3657
311	1655	3649
312	1661	3647
313	1666	3640
314	1670	3632
315	1676	3628
316	1680	3621
317	1685	3614
318	1692	3612
319	1696	3605
320	1701	3598
321	1707	3595
322	1712	3589
323	1717	3582
324	1723	3578
325	1728	3572
326	1732	3566
327	1738	3561
328	1743	3554
329	1747	3548
330	1752	3541
331	1758	3538
332	1762	3530
333	1767	3523
334	1774	3521
335	1778	3514
336	1782	3506
337	1788	3503
338	1793	3496
339	1797	3489
340	1803	3484
341	1807	3477
342	1811	3470
343	1815	3463
344	1821	3459
345	1826	3452
346	1830	3445
347	1836	3441
348	1841	3435
349	1846	3429
350	1853	3426
351	1857	3419
352	1861	3412
353	1868	3408
354	1872	3401
355	1876	3395
356	1881	3388
357	1887	3384
358	1892	3378
359	1896	3372
360	1903	3368
361	1907	3361
362	1912	3355
363	1918	3352
364	1922	3345
365	1927	3339
366	1932	3333
367	1937	3326
368	1941	3319
369	1947	3316
370	1952	3310
371	1957	3304
372	1963	3301
373	1968	3294
374	1973	3289
375	1980	3287
376	1984	3280
377	1989	3273
378	1995	3269
379	1999	3261
380	2003	3255
381	2009	3251
382	2014	3245
383	2019	3239
384	2025	3235
385	2030	3229
386	2034	3222
387	2038	3215
388	2044	3212
389	2049	3205
390	2053	3198
391	2059	3193
392	2064	3188
393	2069	3183
394	2080	3186
395	2085	3180
396	2091	3177
397	2096	3170
398	2100	3164
399	2108	3162
400	2113	3156
401	2118	3150
402	2125	3148
403	2130	3142
404	2134	3135
405	2141	3132
406	2145	3125
407	2149	3118
408	2155	3114
409	2159	3108
410	2163	3100
411	2168	3095
412	2173	3089
413	2177	3082
414	2181	3075
415	2188	3071
416	2193	3066
417	2197	3059
418	2203	3054
419	2208	3049
420	2212	3042
421	2218	3038
422	2222	3031
423	2226	3025
424	2231	3018
425	2236	3014
426	2241	3007
427	2245	3001
428	2252	2998
429	2257	2992
430	2261	2985
431	2267	2981
432	2273	2976
433	2277	2970
434	2284	2966
435	2288	2960
436	2292	2953
437	2298	2949
438	2303	2943
439	2307	2937
440	2313	2932
441	2317	2925
442	2321	2919
443	2325	2912
444	2331	2907
445	2335	2901
446	2340	2895
447	2345	2890
448	2350	2883
449	2354	2877
450	2358	2871
451	2363	2865
452	2368	2859
453	2372	2852
454	2378	2848
455	2382	2842
456	2386	2835
457	2392	2831
458	2396	2825
459	2401	2818
460	2405	2812
461	2411	2808
462	2415	2801
463	2419	2795
464	2425	2790
465	2429	2784
466	2434	2778
467	2438	2771
468	2443	2766
469	2447	2760
470	2451	2753
471	2457	2749
472	2463	2744
473	2467	2738
474	2473	2733
475	2477	2727
476	2522	2766
477	2531	2764
478	2540	2763
479	2548	2760
480	2564	2766
481	2574	2766
482	2582	2763
483	2589	2760
484	2602	2763
485	2610	2760
486	2614	2754
487	2620	2749
488	2624	2742
489	2629	2736
490	2633	2730
491	2638	2724
492	2642	2717
493	2646	2711
494	2652	2706
495	2656	2699
496	2661	2693
497	2666	2687
498	2670	2681
499	2674	2674
500	2679	2668
501	2685	2663
502	2689	2657
503	2694	2651
504	2699	2646
505	2704	2640
506	2708	2634
507	2713	2628
508	2718	2622
509	2723	2617
510	2728	2610
511	2733	2605
512	2738	2599
513	2742	2593
514	2748	2588
515	2753	2582
516	2757	2575
517	2762	2570
518	2767	2564
519	2771	2558
520	2776	2552
521	2781	2546
522	2785	2540
523	2790	2534
524	2796	2530
525	2801	2524
526	2805	2518
527	2811	2513
528	2816	2507
529	2820	2501
530	2825	2496
531	2830	2489
532	2835	2483
533	2839	2477
534	2845	2473
535	2849	2466
536	2854	2460
537	2860	2456
538	2863	2449
539	2868	2443
540	2873	2437
541	2877	2431
542	2882	2425
543	2886	2419
544	2893	2415
545	2898	2409
546	2902	2403
547	2908	2399
548	2912	2392
549	2917	2386
550	2922	2381
551	2926	2375
552	2931	2369
553	2937	2364
554	2942	2359
555	2946	2353
556	2950	2347
557	2956	2342
558	2961	2336
559	2965	2330
560	2970	2324
561	2974	2318
562	2979	2313
563	2985	2307
564	2989	2301
565	2993	2295
566	2997	2289
567	3002	2283
568	3007	2277
569	3011	2271
570	3015	2265
571	3020	2260
572	3025	2254
573	3029	2248
574	3035	2243
575	3039	2237
576	3043	2231
577	3047	2224
578	3052	2219
579	3056	2213
580	3060	2207
581	3066	2202
582	3070	2196
583	3074	2190
584	3078	2184
585	3084	2179
586	3088	2173
587	3092	2167
588	3097	2161
589	3102	2155
590	3106	2149
591	3110	2143
592	3116	2139
593	3121	2133
594	3125	2127
595	3132	2123
596	3136	2117
597	3140	2111
598	3146	2106
599	3150	2100
600	3155	2094
601	3158	2088
602	3164	2083
603	3168	2077
604	3172	2071
605	3178	2066
606	3182	2060
607	3187	2054
608	3192	2049
609	3196	2043
610	3200	2037
611	3204	2031
612	3210	2026
613	3214	2020
614	3218	2015
615	3224	2009
616	3228	2004
617	3232	1998
618	3237	1992
619	3243	1987
620	3247	1981
621	3251	1976
622	3256	1970
623	3260	1964
624	3264	1958
625	3268	1952
626	3274	1947
627	3278	1942
628	3282	1936
629	3287	1930
630	3291	1925
631	3295	1919
632	3300	1913
633	3305	1908
634	3311	1903
635	3315	1897
636	3320	1892
637	3326	1887
638	3329	1881
639	3334	1875
640	3339	1870
641	3344	1864
642	3348	1859
643	3354	1854
644	3358	1848
645	3362	1842
646	3367	1837
647	3372	1831
648	3376	1826
649	3380	1820
650	3386	1815
651	3390	1809
652	3394	1803
653	3398	1797
654	3403	1792
655	3407	1786
656	3411	1781
657	3417	1776
658	3421	1770
659	3426	1764
660	3430	1759
661	3435	1754
662	3440	1748
663	3445	1743
664	3450	1738
665	3454	1732
666	3459	1726
667	3464	1722
668	3469	1716
669	3473	1710
670	3479	1705
671	3483	1700
672	3487	1694
673	3491	1688
674	3497	1683
675	3501	1678
676	3505	1672
677	3511	1667
678	3516	1662
679	3521	1657
680	3526	1652
681	3531	1646
682	3536	1641
683	3540	1635
684	3546	1630
685	3550	1625
686	3554	1619
687	3560	1614
688	3564	1609
689	3569	1603
690	3575	1598
691	3579	1593
692	3583	1587
693	3587	1581
694	3593	1576
695	3597	1571
696	3602	1565
697	3607	1561
698	3612	1555
699	3616	1549
700	3621	1544
701	3626	1539
702	3631	1534
703	3635	1528
704	3641	1523
705	3645	1518
706	3649	1512
707	3655	1507
708	3659	1502
709	3664	1496
710	3669	1491
711	3674	1486
712	3678	1480
713	3682	1475
714	3687	1470
715	3692	1464
716	3696	1459
717	3702	1454
718	3707	1448
719	3711	1443
720	3716	1438
721	3721	1432
722	3725	1427
723	3730	1422
724	3735	1416
725	3741	1411
726	3746	1406
727	3753	1402
728	3758	1397
729	3762	1391
730	3769	1387
731	3774	1381
732	3778	1376
733	3784	1371
734	3789	1366
735	3793	1360
736	3799	1355
737	3803	1350
738	3807	1344
739	3811	1339
740	3817	1334
741	3821	1328
742	3825	1323
743	3832	1318
744	3836	1313
745	3841	1307
746	3848	1303
747	3852	1297
748	3856	1292
749	3863	1287
750	3868	1282
751	3872	1277
752	3878	1272
753	3883	1266
754	3887	1261
755	3892	1256
756	3897	1251
757	3902	1245
758	3905	1240
759	3914	1236
760	3918	1230
761	3923	1225
762	3944	1225
763	3948	1219
764	3953	1214
765	3959	1209
766	3963	1204
767	3967	1198
768	3973	1193
769	3977	1188
770	3981	1182
771	3986	1177
772	3992	1172
773	3997	1167
774	4001	1161
775	4007	1156
776	4012	1151
777	4016	1146
778	4022	1141
779	4026	1135
780	4031	1130
781	4037	1125
782	4041	1120
783	4046	1114
784	4050	1109
785	4055	1104
786	4059	1098
787	4064	1093
788	4070	1088
789	4075	1083
790	4080	1078
791	4086	1073
792	4091	1067
793	4095	1062
794	4102	1057
795	4107	1052
796	4111	1047
797	4117	1042
798	4121	1036
799	4125	1031
800	4130	1026
801	4136	1021
802	4140	1015
803	4144	1010
804	4150	1005
805	4154	999
806	4159	994
807	4164	989
808	4169	984
809	4173	979
810	4178	973
811	4183	968
812	4187	963
813	4192	957
814	4197	952
815	4201	947
816	4205	942
817	4210	936
818	4215	931
819	4219	926
820	4224	920
821	4230	916
822	4234	910
823	4238	905
824	4243	900
825	4248	894
826	4252	889
827	4256	884
828	4262	879
829	4266	873
830	4271	868
831	4276	863
832	4280	858
833	4285	852
834	4289	847
835	4295	842
836	4300	837
837	4303	832
838	4309	827
839	4314	821
840	4318	816
841	4323	811
842	4327	805
843	4331	800
844	4335	795
845	4340	790
846	4345	784
847	4349	779
848	4353	774
849	4358	769
850	4363	763
851	4367	758
852	4373	753
853	4377	748
854	4381	743
855	4385	737
856	4391	732
857	4395	727
858	4399	722
859	4405	717
860	4409	711
861	4413	706
862	4421	701
863	4426	696
864	4430	691
865	4437	686
866	4441	681
867	4445	676
868	4451	671
869	4456	665
870	4460	660
871	4464	655
872	4470	650
873	4475	645
874	4479	639
875	4485	634
876	4491	629
